brewery_id,brewery_name,no_of_beers,no_of_beerstyles
17928,Brasserie Du Loch,3,3
17945,Lockdown Brewing Company,4,4
17948,AC Golden Brewing Company,10,7
17953,Old Coast Road Brewery,4,4
17960,Three Creeks Brewing Co.,10,9
17961,Hollywood Beach Brewing Company,1,1
17962,Uncommon Brewers,7,7
17963,Nectar Ales,5,5
17975,Strömsholms Brygghus & Pub,12,12
17978,River Bend Brewing Company,2,2
17980,Lawson's Finest Liquids,44,20
17981,Cigar City Brewing,201,45
17982,De Hoevebrouwers,3,3
17988,Breakwater Brewing,20,16
17998,Brasserie Trois Dames,17,15
17999,Heineken Switzerland AG,6,5
18003,Microbrasserie Le Naufrageur,11,11
18006,Half Acre Beer Company,52,27
18012,Seven Brides Brewing,8,7
18045,Praský Most u Vals&#367; Restaurant & Brewery,1,1
18046,Carlsberg Srbija D.O.O. Pivara,2,2
18067,Laverstoke Park Farm,2,2
18069,Yakima Craft Brewing Co.,11,8
18070,Spirito DiVino / Bierwinkel Bacelle,1,1
18076,Companyia Cervesera del Montseny,4,4
18079,Einhorn Beer Company,5,5
18080,"Boone Brewing Company, LLC",7,7
18081,Big Al Brewing,34,26
18085,St. Elias Brewing Company,14,13
18086,The Run of the Mill Public House & Brewery,20,16
18089,Eastern Shore Brewing,5,5
18108,Brewboys,11,9
18110,Seven Sheds Brewery,7,6
18111,4 Pines Brewing Company,11,11
18113,MonteKristo Beverages,1,1
18115,S.C. Bere Mure&#351;,1,1
18116,Cervejaria RSW Abadessa,3,3
18117,Pivovar Bašta (Sousedský Pivovar U Bansethů),2,2
18118,Devans Modern Breweries Ltd.,2,1
18120,Trinity Brewing Company,39,15
18129,Cellar Rats Brewery,12,10
18130,Aspen Brewing Co.,7,7
18133,Chateau Kamiya Hachinohe,9,8
18134,Redhook Ale Brewery,51,34
18139,Pacific Beach Ale House,12,12
18144,Lake on the Mountain Brewery,5,5
18149,The Lost Abbey,62,15
18152,Blackwood Valley Brewing Company / The Cidery,5,5
18153,SIA Alus Nams,8,3
18154,Browar Fortuna,3,3
18155,Brasserie du Chardon,7,6
18156,Bali Storm Brewing Company,5,4
18157,T&#275;rvetes Alus,3,2
18168,Peekskill Brewery,18,15
18174,Airdale Brewing Company,7,6
18175,The Greenhouse,2,2
18182,Brouwerij De Vlier,3,3
18184,Khan Bräu Brewery,1,1
18185,Hokusetsu Brewery,1,1
18186,Red Rat Craft Brewery,2,2
18188,Dunham Massey Brewing Company,13,9
18189,Earth Bread + Brewery,58,35
18225,Nail Creek Pub & Brewery,1,1
18228,Pivovar Kocour Varnsdorf,5,4
18229,Pivovara Li&#269;anka,3,3
18230,Minipivovar Žamberk,3,3
18231,Pivovarský dv&#367;r Plze&#328; / Purkmistr Restaurant,8,7
18232,Brasserie De Bellefois,4,3
18233,Brouwerij De Drie Koningen,2,2
18234,Glenbar Malting,2,1
18237,Jefferson St. Brewing Company,6,6
18242,Morrissey Fox / Ye Olde Punch Bowl Inn,3,2
18250,Brewers Union Local 180,12,8
18254,Blue Canoe Brewery,10,10
18258,Napa Smith Brewery,11,7
18260,Magister Fabrica De Cervezas,3,2
18268,Sumidagawa Brewery Pub,1,1
18272,Publican House Brewery,7,7
18276,Pat's Pub & Brewhouse,1,1
18316,Al's of Hampden / Pizza Boy Brewing,4,4
18345,"Charlie's Steak, Ribs & Ale",5,5
18346,Bøgedal Bryghus,11,6
18349,Main St. Grille & Brewing Company,9,9
18350,Birra Cascinazza,1,1
18352,Cervejaria Munique,3,3
18353,Naked City Taphouse,30,17
18355,Drei Kronen 1308 Brauhaus,2,2
18356,Buffalo Water Beer Company,2,2
18359,The Cambridge House,8,8
18363,Société Ardennaise De Brasserie,2,2
18368,Mary's Pizza Shack,2,2
18369,Hell's Gate Brewing Company,5,3
18371,Pretty Things Beer & Ale Project,14,11
18372,Keuka Brewing Company,10,9
18373,La Brasserie Artisanale Touken,2,2
18378,Brasserie Kerav'ale,1,1
18381,Brasserie La Morgat,1,1
18383,Beaver Creek Brewery,1,1
18385,Brasserie Des Garrigues,9,7
18386,Gol Beer (Cerveja Coruja),2,1
18388,Cervejaria Três Lobos Ltda.,8,8
18389,Fabricas Nacionales De Cerveza,7,7
18390,McLaren Vale Beer Company,4,4
18391,Cervecería Artesanal Mastra,2,2
18392,Cervejaria Bruge,1,1
18393,Micro Cervejaria Bamberg,13,12
18394,Micro Cervejaria Barley,2,2
18399,Lahnsteiner Brauerei,7,6
18400,Hausbrauerei Rampendahl,2,2
18412,Cerveceria Primus,4,3
18414,Three Troupers Brewery,3,3
18416,The Flying Horse Bar & Brewery,6,6
18471,Birrificio San Paolo,1,1
18536,Blacksmith Brewing,2,2
18537,Golan Brewery,3,3
18539,Devils Backbone Brewing Company,47,33
18540,"Manchester Brewing, LLC",11,9
18563,Lift Bridge Brewery,15,9
18564,Upslope Brewing Company,12,9
18565,Old Man River Restaurant,7,6
18566,Boathouse Brewpub & Restaurant,4,4
18580,Duelund Bryglade,1,1
18591,Blue Tractor BBQ & Brewery,6,6
18604,Lervig Aktiebryggeri AS,3,3
18605,Great Crescent Brewery,9,8
18635,Aviator Brewing Company,27,20
18636,Ölgerð Reykjavíkur,1,1
18638,Mjöður Ehf.,1,1
18639,Rapscallion,9,7
18680,Milwaukee Brewing Company,15,13
18724,Old Forge Brewing Company,23,21
18738,Bar Teerenpeli,3,3
18739,Bruuveri,4,4
18796,Boquébière,32,22
18800,Big Daddy's,8,8
18810,River Company Restaurant & Brewery,4,4
18816,Vertigo Brewing,5,5
18823,Freetail Brewing Company,91,32
18842,Brasserie Artisanale De La Crécelle,4,3
18845,Brasserie Artisanale Savoyarde - B.A.S.,1,1
18846,Brasserie D'Olt,3,3
18847,Brasserie d'Orgemont,5,3
18848,Ferme Brasserie Garland,1,1
18849,Brasserie Henri Monier,1,1
18850,La Cagole,1,1
18851,Öufi Brauerei,1,1
18852,The Three Tuns Brewery,3,3
18853,Plockton Brewery,1,1
18854,New Orleans Lager & Ale Brewing Company (NOLA),10,9
18856,The Backyard Brewhouse,1,1
18857,Blue House Mediterranean Cafe,3,3
18858,Driftwood Brewery,16,14
18874,Rabbit's Foot Meadery,3,3
18878,Den Heischter,1,1
18879,Chuckanut Brewery & Kitchen,22,19
18881,Bogota Beer Company,18,13
18889,Cerveza Artesanal BarbaRoja,2,1
18893,La Brasserie de Fleurac,6,6
18894,Triscele Srl,2,1
18899,Cervejaria Wäls,6,5
18902,3 Cordilleras,1,1
18915,Indigo Imp Brewery,14,13
18927,Bodega 1800 Import & Export Corporation,1,1
18946,Cave Mountain Brewing Company,2,2
18954,Nyckel-Bryggerier,2,2
18963,Brasseries Star Madagascar,1,1
18968,Appalachian Brewing Company,80,45
18990,Joseph James Brewing Inc.,16,12
18997,Captured By Porches Brewing Company,13,10
19001,Brasserie De La Creuse,1,1
19002,Brasserie De La Vallée De Chevreuse,6,5
19012,Bull & Bones Brewhaus & Grill,11,9
19015,Revolution Brewing,4,4
19016,Colorado Boy Pub & Brewery,1,1
19030,AS Puls Brewery,6,4
19069,La Gastaldia,2,2
19089,Brasserie des Fontaines,6,4
19101,Bays Brewery Ltd.,1,1
19114,Yak and Yeti,9,6
19123,Brauhaus Goslar,2,1
19126,Lonerider Brewing,8,7
19127,Metropolitan Brewing,9,6
19131,Birreria San Gabriel,3,3
19136,Terminal Brewhouse,11,9
19139,Brasserie Des Vignes,9,6
19141,La Brasserie du Caou,1,1
19143,La Brasserie du Pays Flamand,6,6
19144,Fentimans Ltd.,3,2
19145,Brasserie Larché,7,5
19146,Browar Konstancin,6,4
19150,BirrOne,7,7
19155,Bierbrouwerij Openluchtmuseum Arnhem,3,3
19161,H.Nettelbeck KG,1,1
19163,Liberty Street Brewing Company,6,6
19190,Rust Belt Brewing Company,9,7
19202,Creekside Brewing Company,22,17
19208,Den Gale Brygger,1,1
19213,Blue Hills Brewery,19,13
19218,Dansk Mjød A/S,1,1
19223,Clanconnel Brewing Company,3,3
19235,Limestone Brewing Company,20,17
19241,Lucky Bucket Brewing Co.,4,4
19247,The Olde Mecklenburg Brewery,9,9
19252,Blind Lady Ale House & Automatic Brewing Co.,5,3
19284,Ram Restaurant And Brewery,1,1
19293,Birra Toccalmatto,10,8
19300,Belgoobeer,2,2
19301,Newman's Brewery,2,2
19304,Breaker Brewing Company,12,12
19313,Bowman Ales Ltd.,3,1
19314,Boylan Bridge Brewpub,11,7
19317,Wyken Vineyards,1,1
19318,Lovibonds Brewery Ltd,6,5
19321,ShawneeCraft Brewing Company,15,10
19340,Roanoke Railhouse Brewery,3,3
19348,Xbeeriment I/S,8,8
19350,Schlossplatzbrauerei Coepenick,3,3
19362,Zago S.r.l.,1,1
19364,The Red Shoot Inn & Brewery,1,1
19378,Hop Valley Brewing Company,13,12
19380,Mariposa Brewing Company,3,3
19402,Inland Empire Brewing Company,13,11
19424,JT Schmid's,2,2
19454,Pivovarský Dv&#367;r Chýn&#283;,3,3
19455,Donnington Brewery,1,1
19456,Coop Ale Works,9,9
19457,Egyptian International Beverages Company,2,2
19476,Beer Here,20,17
19480,Colorado Brewing Company & Boulder Draft House,1,1
19490,Hometown Beverages Brewing Company,5,4
19516,Old World Brewery,5,5
19526,Mt. Emily Ale House,12,9
19528,The Black Turtle Pub I,3,3
19531,George Wright Brewing Company,3,2
19532,Goddards Brewery,3,2
19536,La Pubilla - Cerveza Artesanal,1,1
19537,Cerveseria Birrart,2,2
19538,The Indian Ocean Brewhaus & Grill,1,1
19544,Fat Heads Brewery & Saloon,87,45
19553,The Lab Gastropub,3,3
19555,Kooinda Boutique Brewery,6,4
19570,Western Pacific Brewing And Dining,3,3
19571,TOMP Beer & Spirits,2,1
19573,Mohawk Brewing Company,13,12
19580,Riverport Brewing Company,8,8
19582,Krash Brewery,3,3
19587,Hofbräuhaus Pittsburgh,15,14
19597,Les Fous Micro Brasserie,6,4
19601,Brasserie De Monaco,5,4
19602,Snowy Mountain Brewery,4,4
19603,South Pacific Brewery LTD,2,2
19604,Brasserie Mare Nostrum,4,4
19606,Ca L'Arenys,5,4
19607,Llupols I Llevats S.L.,6,6
19608,West Coast Brewery,3,2
19609,Aotearoa Breweries NZ Ltd.,3,2
19610,"M&#283;&#357;anský Pivovar V Poli&#269;ce, A.s.",3,2
19611,Falkner Cerveceria,1,1
19612,Brouwerij 't Brouwkot,4,4
19634,Rocky Mountain Brewing,17,9
19654,Taps Brewery,5,5
19658,Brasserie de Jandrain-Jandrenouille,4,2
19666,Cháu Tiên USA,1,1
19668,Yellow Cross,3,3
19675,Abula Alus Dar&#299;tava,2,2
19691,Roppelt-Bräu Trossenfurt,1,1
19693,Köthener Brauerei,1,1
19699,The Monk Brewery & Kitchen,3,2
19720,Viru Õlu AS,4,2
19721,Mill Creek Brewpub,1,1
19726,MacLean's Ales Brewing,10,9
19729,Szot Microcervecería,4,4
19730,Brouwerij Danny,1,1
19732,Valmiermuiža Alus,2,2
19736,Henquet,1,1
19739,Rockbottom Bar & Brewery,3,3
19741,Praforte,1,1
19742,B94,1,1
19743,Birrificio Lariano,8,8
19749,Docks,1,1
19752,St. Francis Brewery & Restaurant,6,6
19764,Schooner Exact Brewing Company,22,14
19765,Black Raven Brewing Co.,32,18
19769,"Royersford Brewing Company, LLC",1,1
19773,Seychelles Breweries Limited (SBL),1,1
19774,The Fox & Newt / Fox Beer Co.,1,1
19776,Ghost River Brewing,10,10
19788,MBF Company / Boxer Brews,1,1
19798,Wimberley Brewing Company And Brewpub,3,3
19806,Gentlemens Brewing Company Pty Ltd,1,1
19808,Lovely Valley Beverage Factory,10,6
19812,Tailgate Beer,4,4
19832,Crown Valley Brewing & Distilling Co.,15,15
19837,Mayfield Brewing Company,3,3
19844,Stone & Wood,5,5
19854,Factory Beer,1,1
19865,Brauerei Gusswerk GmbH,3,3
19866,Upright Brewing Company,55,22
19868,Whitstran Brewing Company,2,2
19886,Norfolk Square Brewery,7,5
19890,Ale Industries,11,10
19891,Andwell Brewing Company,1,1
19897,Evolution Craft Brewing Company,24,16
19911,Salmon River Brewery,8,7
19915,Pale Horse Brewing Company,6,6
19916,Penobscot Bay Brewery,7,7
19928,Frosty Knuckle Brewing Company,3,2
19929,Qvänum Mat & Malt,3,3
19932,Lagniappe Brewing Company,4,3
20009,SKW Brewing,4,4
20017,Five Seasons Westside,71,37
20039,Traditional Scottish Ales,4,4
20058,The Hartford Better Beer Co.,3,3
20091,Lautertaler Hausbrauerei,1,1
20104,Pri Kmeta - The Mayor Brewpub,4,4
20132,Les Brasseurs Du Temps,22,18
20160,Püttner Bräu,1,1
20173,Golden Hills Brewing Co.,2,1
20175,Aktienbrauerei Flims Surselva AG,1,1
20176,Brauhaus Sternen AG,4,4
20220,Black Creek Historic Brewery,9,8
20268,Kirkwood Station Brewing Company,22,18
20288,Old North State Winery And Brewery,2,2
20330,Eddyline Restaurant & Brewery,2,2
20345,Long Ireland Beer Company,7,7
20357,Deadwood Café & Brewery,2,2
20360,Phoenix Beverages Group,3,2
20372,Cervecería Calchaquí,2,2
20389,Orcutt Brew Company,5,5
20400,The Ruddy Duck Brewery And Grill,13,13
20409,Cocoa Beach Brewing Company,9,8
20417,White Birch Brewing,63,32
20430,Dust Bowl Brewing Company,2,2
20431,The 3 Brewers,15,12
20459,Purple Moose Brewery,4,2
20472,Hornbeer,12,8
20476,Fire Island Beer Company,4,4
20481,Copper Mountain Beverage Company,2,2
20501,Kori Kori No Kuni,3,3
20502,Shiroyama Brewery,2,2
20506,Brauerei Lieberth,1,1
20508,Kr&#257;slavas Avots,2,2
20509,Brouwerij Verstraete,2,2
20511,Brasserie Artisanale du Centre,2,2
20531,Små Vesen Bryggeri,1,1
20534,Dalgety Brewing Company,6,5
20535,ALDI Stores Australia,1,1
20563,Highlander Brew Co.,1,1
20592,Byggver Bryggeri,1,1
20594,Cheshire Valley Brewing Company,13,10
20595,Karmeliter Bräu,1,1
20601,Brauerei BierVision Monstein AG,2,2
20608,Inderøy Gårdsbryggeri,1,1
20630,Oyster House,4,4
20634,Steer Museumsbräu,1,1
20637,Bierhalle,7,7
20638,DUFF Sales & Marketing E.K.,2,2
20639,Surgenor Brewing Company,2,2
20657,Brainerd Lakes Brewery,3,3
20658,7 Seas Brewery and Taproom,12,11
20669,Bodega Artesana,3,3
20672,Sun King Brewing Company,64,38
20679,Everybody's Brewing,16,13
20680,Fremont Brewing Company,20,10
20681,Maine Beer Company,5,5
20682,Microbirrificio Opperbacco,2,2
20683,Karma,1,1
20684,Maltus Faber,6,6
20688,16 Mile Brewing Company,6,5
20689,White Rabbit,2,2
20706,Brewer S.R.O.,2,1
20707,The Fat Cat Beer Company,1,1
20708,Mustang Brewing Company,6,5
20721,"Ishikawa Brewery Co., Ltd",2,2
20727,The Flowerpots Brewery / The Flowerpots Inn,1,1
20728,Browarmia Królewkska,5,5
20729,Hart & Thistle,22,9
20757,Dunbar Brewing,3,3
20766,Greenport Harbor Brewing Company,24,18
20775,Browar Ciechan,6,5
20776,The Celt Experience Brewery,3,3
20777,Quarry Brewing Company,2,2
20778,Maxim Brewery,2,2
20779,Vanuatu Brewing Ltd.,1,1
20781,Caru' Cu Bere,1,1
20782,Vilniaus Alus UAB,4,4
20783,Bir&#371; Alus,1,1
20784,Passport Brewhaus,3,3
20788,"UAB ""Astravo""",3,3
20789,North Cotswold Brewery,3,3
20791,Bristol Beer Factory,6,6
20810,Vilkmerg&#279;s Alus,3,2
20811,Cervezas Fernández Pons,1,1
20864,Ægir Bryggeri,9,8
20873,Black Bear Brewery,9,8
20878,"Fireman's Brew, Inc.",3,3
20898,Brauerei Georg Meister,1,1
20913,Arctic Fox Brewing,4,4
20914,Vofas-Engelman,3,3
20970,Statale Nove,1,1
20972,Gallia Omnia,1,1
20982,The Blind Pig Brewery,23,20
20986,Bürgerbräu Bad Reichenhall,2,2
20988,Becker Brewing Company,4,4
20990,Mistura Clássica,3,3
20991,Cervejaria Rasen Bier Ltda,2,2
20998,Battered Boar Brewing Company,7,7
21001,Wicküler Brauerei GmbH,1,1
21002,Brauerei Sester GMBH,1,1
21005,Løkken Bryghus,3,3
21006,Brasseurs Illimités,19,16
21012,Cayucos Brewing Company,2,2
21040,The Idle Brewery,1,1
21058,Holy Brew Brewing Company,2,1
21073,Doppelganger's Bar & Grill,2,2
21092,World Brews,52,13
21093,Milwaukee Ale House,5,5
21104,Birrificio Pausa Cafe,6,5
21108,Brauerei Bayer Theinheim,2,1
21109,Facer's Flintshire Brewery,1,1
21112,Ludlow Brewing Company,3,3
21113,Box Steam Brewery,7,4
21114,Scamark,4,2
21138,Growler Craft Brewery,5,5
21153,Broadway Brewery & Restaurant,19,17
21154,Swamp Head Brewery & Tasting Room,23,14
21193,Mother Earth Brewing,14,12
21200,Inducerv SA,5,4
21201,Brasserie Cardinal,1,1
21239,Brauerei Schanzenbräu,1,1
21242,Steinfels,1,1
21243,Lil' Charlie's Restaurant & Brewery,8,8
21257,Wolf Hills Brewing Company,6,5
21274,Wallace Brewing / Orehouse Tasting Room,6,5
21275,Bellarine Brewing Co.,4,4
21277,Fusion Brewing,3,3
21278,Liechtensteiner Brauhaus,3,3
21279,Pen-lon Cottage Brewery,4,3
21280,Occy's Brewery,2,2
21281,Cowaramup Brewing Company,5,5
21316,BJ's Restaurant,9,9
21329,Cool Springs Brewery,6,5
21333,Nova Paka Brewery,5,4
21334,Brecknock Brewing,2,2
21336,Duggan's Brewery,19,19
21340,Great Dane Pub & Brewing Company (Wausau),4,4
21359,Four Friends Brewing,9,7
21363,Jolly Pumpkin Cafe And Brewery Ann Arbor,8,8
21366,Brauerei Hofmann Hohenschwärz,1,1
21378,Brauerei Stadtguet,1,1
21396,Big Muddy Brewing,5,5
21405,Dave's BrewFarm,16,11
21407,Plan B Brewing,1,1
21421,Pacific Kingdom Trading,2,2
21429,Vakka-Suomen Panimo,2,1
21430,Doctors Orders Brewing,3,3
21431,Kosciuszko Brewing Company,1,1
21432,River Side Brewery & Restaurant,3,3
21442,Bee Creek Brewery,6,6
21445,BJ's Restaurant And Brewhouse,4,4
21448,Ladyface Ale Companie,39,23
21449,Sonoma Springs Brewing Co.,8,7
21465,Microbrouwerij Den Triest,1,1
21470,Nile Breweries (SAB),3,2
21471,Parambot Breweries,1,1
21473,Morgantown Brewing Company,20,16
21497,North Peak Brewing Company,25,16
21505,Hofbrauhaus Wolters GmbH,3,3
21508,Battlefield Brewing Co At The Pub,5,5
21512,Whitehead,3,3
21514,OPA Bier,1,1
21516,Kirkland Signature / Costco Wholesale Corporation,6,6
21517,Denali Brewing Company / Twister Creek Restaurant,6,6
21528,Palouse Falls Brewing Company,4,4
21537,Hop City Brewing Co.,4,4
21554,Fire Mountain Brew House,6,4
21565,Frank N Stein,2,2
21566,Grove Street Brewhouse,11,9
21567,Odin Brewing Company,8,7
21568,Horse Heaven Hills Brewery,5,4
21589,Drummond Brewing Company,4,2
21590,Ram Restaurant & Brewery,1,1
21591,Sleepy Dog Brewery,15,12
21592,Hauff-Brau,4,3
21593,MonkSouth (Thirsty Monk South),1,1
21597,Officina Della Birra,3,3
21623,Gentleman Scholar Brewing Co.,2,1
21631,Six Row Brewing Company,15,13
21635,Jailhouse Brewing Company,9,8
21636,Dachsbräu,3,3
21641,Hamburger Mary's Rec Room,9,9
21648,Gaststätte Zum Bautzner Tor,2,2
21651,Eagle Rock Brewery,16,11
21678,United Brands Company,1,1
21680,Stensbogaard Bryghus,2,2
21683,The Lucky Monk,25,21
21721,Bewdley Brewery Co.,3,3
21722,Island Brew,1,1
21727,Gattopardo Cervejaria,3,3
21734,Brouwerij Dilewyns,3,3
21737,Bandwagon Brew Pub,37,25
21746,Ale House,1,1
21755,Rascal Creek Brewing Co.,1,1
21757,Wagtail Brewery,1,1
21759,Föroya Bjór,2,2
21760,Bridestones Brewing Company Limited,2,1
21764,Ferme De Laubicherie,2,2
21778,Aarhus Bryghus,2,2
21801,Imperial Premium Beer Ltda.,1,1
21818,Peace Tree Brewing Co.,14,12
21832,Blue Monkey Brewery,4,4
21833,Euskal Garagardoa S.L.,3,3
21834,Ambacht Brewing,8,4
21841,Craggie Brewing Company,17,14
21850,"Simpson's Brewing Company, S.A. De R.L. De C.V",1,1
21856,Strand Brewing Co.,5,5
21862,Galena Brewing Company,8,7
21865,Ninkasi Fabriques,4,4
21866,True South Brewery,4,4
21868,Back Forty Beer Co.,3,3
21872,Prism Brewing Company,11,10
21876,The LAB (Lexington Avenue Brewery),14,13
21882,Brickworks Brewing,3,3
21891,Brauerei Frastanzer Genossenschaft M.b.H.,1,1
21905,Brasserie Tchequébec,2,1
21907,Big Rapids Brewing Co.,4,4
21908,Battle Ground Brewery & Restaurant,1,1
21935,Amadeus Hausbräu,2,2
21936,Brauhaus Rheinbach,2,2
21937,Alter Bahnhof Malsch,3,3
21952,People's Brewing Company,24,17
21964,Boatrocker Brewing Company,2,2
21974,Big Woods Brewing Co.,7,7
21977,Beard & Brau,4,4
21982,Asher Brewing Company,8,7
21983,Shandong Taishan Beer Co Ltd,1,1
21984,Black Fox Brewing,1,1
21985,La Gueule de Bois,4,4
21996,Karibrew,3,3
22007,Kirkby Lonsdale Brewery Co Ltd,3,3
22012,Hops & Barley Hausbrauerei,5,5
22035,The Big Cheese Pizza Co.,11,10
22051,Odonata Beer Company,6,4
22065,Redwood Curtain Brewing Company,5,4
22072,Revolution Brewing Company - Brewpub,69,38
22074,Pivovar Kout Na Šumavě,4,3
22100,Chameleon Brewing,4,4
22112,Root Cellar Cafe / Darkside Fermentation,13,10
22116,Epic Ales,17,11
22140,Mak Bier,1,1
22141,Mr CoQuí,2,2
22147,Peg's Cantina & Brewpub / Cycle Brewing,17,12
22150,Stillwater Artisanal Ales,41,9
22157,Rivertown Brewing Co.,20,17
22167,Fulton Beer,5,5
22168,Br. De Wijde Wereld / Leidsch Bier,1,1
22170,Lucky Hand Brewing Company,2,2
22185,Migration Brewing Company,8,7
22194,Flat Tail Brewing,21,12
22196,Infusion Restaurant Bar & Micro Brewery,1,1
22197,Langham Brewery,1,1
22200,Wormtown Brewing Co.,46,23
22202,Element Brewing Company,10,8
22223,Sprig & Fern Brewery,2,2
22230,Jack's Brewing Company,2,2
22243,Vintage Brewing Company,34,27
22249,Turbinenbräu,2,2
22265,Barley Mill Brewpub / Barley & Grapes,6,6
22271,Cathedral Square Brewery,6,6
22276,Brodie's,15,12
22278,Fulstow Brewery,1,1
22283,Natty Greene's Pub & Brewing Co.,15,12
22285,Natian Brewery,6,6
22288,Mt Tabor Brewing,1,1
22319,Figure 8 Brewing,18,14
22320,Wilbur Brewing Co.,6,6
22336,Birra Tenute Collesi SRL,6,5
22349,Lefty's Brewing Company,6,5
22383,OOO UK Pokrovskaya,1,1
22399,Vanberg & DeWulf,2,2
22408,Bayou Teche Brewery,5,5
22409,Unicorn Brewery,1,1
22410,Great Orme Brewery,4,3
22411,Duits & Lauret Speciaalbierbrouwerij,3,3
22412,Noble Ale Works,6,6
22413,Covington Brewhouse,3,3
22426,Bahamian Brewery Beverage & Co. Ltd.,4,4
22430,Mallinsons Brewing Company,4,3
22432,Gilgamesh Brewing,10,8
22433,Orange Blossom Pilsner LLC,1,1
22434,Foggy Noggin Brewing,8,8
22439,Lake of Bays Brewing Company,3,3
22440,Carson’s Restaurant and Brewery,3,3
22459,JoBoy's Brew Pub,17,14
22460,Brauhaus Frankenberger E. Ortmanns,1,1
22465,The Perfect Pear Cafe / The Vermont Beer Company,1,1
22466,Northshire Brewery,3,3
22470,Pinglehead Brewing Co. / Brewer's Pizza,8,7
22472,Skull Coast Brewing Company,5,5
22486,HogsBack Brewing Company,1,1
22493,Hallenbrick Brewery,1,1
22496,The Clocktower Brew Pub  - Market,2,2
22502,Red Dot Brewhouse,1,1
22509,Kind Beers Brewing,4,4
22511,Hill Farmstead Brewery,53,15
22512,Trapp Family Lodge Brewery,11,10
22513,Madhouse Brewing Company,6,5
22524,O'Dempsey's,3,3
22536,Airways Brewing Company,14,8
22537,Eskilstuna Ölkultur,13,11
22539,Foothills Brewing & Beverage Co.,2,2
22540,M. T. Head Brewing Co.,6,5
22543,Birrificio Civale,7,7
22564,Odd Side Ales,35,21
22573,Alina S.R.L.,3,3
22577,Kamihei Sake Brewing / Zumona Beer,1,1
22589,The Prodigal Son Brewery,7,7
22598,Cismontane Brewing Company,21,15
22610,Mother Earth Brew Co.,40,27
22611,Bridge Brew Works LLC,7,7
22612,Mt. Pleasant Brewing Company,11,9
22616,Fiddler's Green Brewing Company,3,3
22617,New Jersey Beer Company,4,4
22618,8 Wired Brewing Co.,10,9
22619,Cervecera Latinoamericana S.A.,1,1
22621,Natural Brewing Company,1,1
22622,Social Kitchen & Brewery,12,8
22653,Brasserie Michard,4,4
22654,Bières De Saint-Louis,4,4
22655,Straight To Ale,12,10
22656,Chardon BrewWorks & Eatery,1,1
22657,La Compagnie de Bière Brisset,1,1
22659,Harts Pub / Rocks Brewing Co.,7,7
22660,"Sarbast (UzCarlsberg, LLC)",1,1
22661,River House Brewpub,20,19
22679,Les 3 Brasseurs - Centropolis,1,1
22698,Grogg's Pinnacle Brewing Co.,6,4
22723,Notch Brewing,7,6
22726,Canadian Brewery Inc. (North Island Beer),1,1
22771,Birrificio Geco,1,1
22772,Birrificio Rurale,3,3
22777,The Boon Island Ale House,2,2
22779,Falls City Brewing Company,1,1
22783,O'Connor Brewing Co.,6,6
22797,Brouwerij Lupus,3,3
22799,Scone Bierbrouwerij,2,2
22805,Brauer-Vereinigung Pegnitz,1,1
22819,I Due Mastri,1,1
22829,Piraiki Brewery (&#928;&#949;&#953;&#961;&#945;&#970;&#954;&#942;),1,1
22843,Breakside Brewery,18,11
22844,New Planet Beer Company,3,3
22847,Dungarvan Brewing Company,4,4
22849,Pivovar Broumov,3,2
22854,Full Pint Brewing Company,10,8
22856,Trouble Brewing,2,2
22861,Galway Bay Brewery,2,2
22866,Nantahala Brewing Company,9,7
22882,Nibble Bit Tabby,2,2
22886,Equinox Brewing Company,27,22
22892,Brasserie de Bellevaux,4,4
22893,Epic Brewing Co.,33,23
22896,Artisan Brewing Co.,3,3
22903,Boxcar Brewing Co.,3,3
22916,Rivergate Brewing Company / North End Pub,1,1
22917,Ferguson Brewing Company,20,19
22920,Argus Brewery,7,7
22923,Yellowhead Brewery,1,1
22928,Barrier Brewing Company,22,20
22930,Kohler Brewing Company Inc.,1,1
22933,Harmon Brewing And Tap Room,1,1
22937,Craft Brewing Company,2,2
22938,5 Points Brewing Company,2,2
22951,Clown Shoes,12,9
22959,Outpost Natural Foods,1,1
22972,192 Brewing Company,3,3
22977,Ängö Kvartersbryggeri,8,8
22981,Birrificio Valscura,1,1
22994,Roth Brewing Company,7,7
22995,BottleTree Beer Co.,1,1
23014,Der Blokken Brewery,3,3
23016,Bank Beer Co.,3,3
23018,Black Husky Brewing,3,3
23020,Brouwerij Van Viven,6,5
23022,Ivory Tower Brewing,2,2
23030,Revelation Cat Craft Brewing,9,4
23031,Brouwerij Hof Ten Dormaal,5,2
23034,Vecchia Orsa,2,2
23035,Brasseurs De La Mauricie,6,6
23042,Martin Olsson Handels AB,1,1
23046,Ineeka,1,1
23052,Great River Brewery,15,11
23055,Banff Ave. Brewing Co.,8,8
23058,Pub Dog Brewing,9,8
23066,Boneyard Beer Company,14,10
23076,Grimm Brothers Brewhouse,15,11
23081,Strange Brewing Company,21,16
23082,Crested Butte Brewing Co.,3,3
23090,Thirsty Planet Brewing Company,5,5
23101,Croocked Moon Brewing,6,5
23108,Engine 15 Brewing Company,6,4
23109,Coalition Brewing Co.,10,9
23110,Croce Di Malto,3,3
23121,Halsnæs Bryghus,1,1
23122,Cavalry Brewing,6,6
23131,Indslev Bryggeri,3,3
23134,Two Goats Brewing,3,3
